REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 25-64,AGE 25-49,AGE 50-64,AGE 65
HHS Regions,Region 4,1998,47,193,14043,77,1.70088401,1.37435021,61,68,54,,,10
HHS Regions,Region 5,1998,47,342,20239,91,1.357738644,1.689806809,39,213,66,,,24
HHS Regions,Region 6,1998,47,59,9180,18,2.160391584,0.642701525,6,25,22,,,6
HHS Regions,Region 7,1998,47,56,5205,51,1.233951486,1.075888569,13,27,14,,,2
HHS Regions,Region 8,1998,47,105,10292,36,0.795980674,1.020209872,28,39,33,,,5
HHS Regions,Region 9,1998,47,217,10449,29,2.211737724,2.076753756,100,71,32,,,14
HHS Regions,Region 10,1998,47,21,2144,16,0.992661097,0.979477612,7,8,6,,,0
HHS Regions,Region 1,1998,48,68,9446,47,0.846167899,0.719881431,16,35,15,,,2
HHS Regions,Region 2,1998,48,18,276,5,6.52173913,6.52173913,4,7,6,,,1
HHS Regions,Region 3,1998,48,128,7245,33,3.591563329,1.76673568,20,38,54,,,16
HHS Regions,Region 4,1998,48,224,19733,76,1.204312936,1.13515431,61,95,53,,,15
HHS Regions,Region 5,1998,48,255,26096,96,1.149608142,0.977161251,50,113,67,,,25
HHS Regions,Region 6,1998,48,60,8786,10,2.266975857,0.682904621,15,14,24,,,7
HHS Regions,Region 7,1998,48,97,8016,53,1.17219762,1.21007984,19,47,25,,,6
HHS Regions,Region 8,1998,48,95,9222,25,0.948283763,1.030145305,33,30,24,,,8
HHS Regions,Region 9,1998,48,207,11871,29,1.895828057,1.743745262,95,62,40,,,10
HHS Regions,Region 10,1998,48,24,2550,18,1.415129144,0.941176471,6,12,2,,,4
HHS Regions,Region 1,1998,49,71,9271,49,1.060109096,0.765828929,19,35,13,,,4
HHS Regions,Region 2,1998,49,12,541,7,2.204427598,2.218114603,5,3,3,,,1
HHS Regions,Region 3,1998,49,130,7737,32,3.492692288,1.680237818,19,48,47,,,16
HHS Regions,Region 4,1998,49,219,19500,76,1.323570407,1.123076923,62,95,50,,,12
HHS Regions,Region 5,1998,49,268,23167,97,0.896698278,1.156817888,63,133,64,,,8
HHS Regions,Region 6,1998,49,58,10880,9,2.574794926,0.533088235,14,6,21,,,17
HHS Regions,Region 7,1998,49,136,7982,53,1.560557644,1.703833626,51,51,23,,,11
HHS Regions,Region 8,1998,49,106,12248,33,0.557706876,0.86544742,42,27,30,,,7
HHS Regions,Region 9,1998,49,180,10266,28,3.011986586,1.753360608,72,53,47,,,8
HHS Regions,Region 10,1998,49,22,2008,15,0.935610673,1.09561753,6,10,5,,,1
HHS Regions,Region 1,1998,50,48,9896,53,1.014831514,0.485044462,10,21,12,,,5
HHS Regions,Region 2,1998,50,21,530,7,3.710130378,3.962264151,6,9,4,,,2
HHS Regions,Region 3,1998,50,110,6707,34,2.120325821,1.640077531,18,33,46,,,13
HHS Regions,Region 4,1998,50,190,14392,71,1.492678222,1.320177877,36,86,51,,,17
HHS Regions,Region 5,1998,50,191,22131,94,0.697785545,0.863042791,44,82,50,,,15
HHS Regions,Region 6,1998,50,71,10645,10,2.486613113,0.666979803,25,9,30,,,7
HHS Regions,Region 7,1998,50,152,7455,51,2.078656882,2.038900067,49,61,35,,,7
HHS Regions,Region 8,1998,50,99,13298,35,0.533813901,0.744472853,19,41,32,,,7
HHS Regions,Region 9,1998,50,243,10400,28,2.624744563,2.336538462,101,75,58,,,9
HHS Regions,Region 10,1998,50,16,1962,13,1.006070874,0.815494393,4,9,2,,,1
HHS Regions,Region 1,1998,51,68,6366,51,1.850078207,1.068174678,20,28,16,,,4
HHS Regions,Region 2,1998,51,0,312,6,0,0,0,0,0,,,0
HHS Regions,Region 3,1998,51,115,4965,32,3.788326138,2.316213494,21,26,46,,,22
HHS Regions,Region 4,1998,51,168,9243,66,1.837872322,1.817591691,40,62,51,,,15
HHS Regions,Region 5,1998,51,156,16801,93,0.794129869,0.92851616,41,57,51,,,7
HHS Regions,Region 6,1998,51,51,8835,10,8.570786482,0.577249576,20,15,11,,,5
HHS Regions,Region 7,1998,51,66,3715,47,2.186612999,1.776581427,15,27,22,,,2
HHS Regions,Region 8,1998,51,115,9997,35,0.998970994,1.150345104,25,64,24,,,2
HHS Regions,Region 9,1998,51,305,9603,28,2.734299832,3.176090805,150,73,67,,,15
HHS Regions,Region 10,1998,51,20,1543,16,1.927764258,1.29617628,3,7,8,,,2
HHS Regions,Region 1,1998,52,70,6128,51,4.469971562,1.14229765,16,32,18,,,4
HHS Regions,Region 2,1998,52,5,228,4,2.565028409,2.192982456,0,0,3,,,2
HHS Regions,Region 3,1998,52,104,5134,29,4.201675857,2.025710947,17,23,49,,,15
HHS Regions,Region 4,1998,52,190,12578,65,1.5129434,1.510574018,41,67,62,,,20
HHS Regions,Region 5,1998,52,243,14761,88,1.62208356,1.64622993,60,76,87,,,20
HHS Regions,Region 6,1998,52,162,10660,17,11.72032612,1.519699812,39,26,53,,,44
HHS Regions,Region 7,1998,52,90,5460,52,1.451042884,1.648351648,15,28,39,,,8
HHS Regions,Region 8,1998,52,105,10564,35,0.836206644,0.993941689,18,33,50,,,4
HHS Regions,Region 9,1998,52,431,10143,26,6.662712362,4.249235926,206,84,100,,,41
HHS Regions,Region 10,1998,52,23,1560,15,1.812691972,1.474358974,6,8,5,,,4
HHS Regions,Region 1,1999,1,101,8505,51,2.913661842,1.187536743,17,48,29,,,7
HHS Regions,Region 2,1999,1,9,352,4,3.391999762,2.556818182,0,0,8,,,1
HHS Regions,Region 3,1999,1,112,6253,32,3.654026849,1.791140253,16,27,57,,,12
HHS Regions,Region 4,1999,1,251,17015,74,1.451491376,1.475168969,64,97,78,,,12
HHS Regions,Region 5,1999,1,202,19838,93,0.910215433,1.018247807,46,73,68,,,15
HHS Regions,Region 6,1999,1,151,12065,11,5.479474835,1.251554082,16,20,99,,,16
HHS Regions,Region 7,1999,1,105,7741,53,1.49251538,1.3564139,12,32,49,,,12
HHS Regions,Region 8,1999,1,185,10885,35,1.290194545,1.699586587,28,84,58,,,15
HHS Regions,Region 9,1999,1,612,12482,30,5.834098148,4.903060407,231,145,194,,,42
HHS Regions,Region 10,1999,1,52,2457,13,3.862082092,2.116402116,9,22,19,,,2
HHS Regions,Region 1,1999,2,153,7547,50,3.941935149,2.027295614,29,61,52,,,11
HHS Regions,Region 2,1999,2,13,321,5,5.23444751,4.049844237,0,5,7,,,1
HHS Regions,Region 3,1999,2,215,5898,31,7.825108374,3.645303493,29,93,73,,,20
HHS Regions,Region 4,1999,2,371,15639,71,2.277988751,2.372274442,78,159,119,,,15
HHS Regions,Region 5,1999,2,344,20410,91,1.50382753,1.68544831,43,148,137,,,16
HHS Regions,Region 6,1999,2,338,8017,16,6.528031667,4.216040913,20,38,241,,,39
HHS Regions,Region 7,1999,2,106,8863,53,1.185797947,1.195983301,14,46,42,,,4
HHS Regions,Region 8,1999,2,247,12776,33,1.60157746,1.933312461,34,91,118,,,4
HHS Regions,Region 9,1999,2,549,12378,29,6.360022988,4.435288415,168,203,151,,,27
HHS Regions,Region 10,1999,2,71,2783,17,2.74889892,2.551203737,16,30,22,,,3
HHS Regions,Region 1,1999,3,203,8506,51,4.518634184,2.38655067,53,81,59,,,10
HHS Regions,Region 2,1999,3,37,557,6,6.627031281,6.642728905,7,13,14,,,3
HHS Regions,Region 3,1999,3,283,7215,32,7.353009623,3.922383922,66,93,97,,,27
