REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 25-64,AGE 25-49,AGE 50-64,AGE 65
HHS Regions,Region 2,2002,34,,,,,,,,,,,
HHS Regions,Region 3,2002,34,,,,,,,,,,,
HHS Regions,Region 4,2002,34,,,,,,,,,,,
HHS Regions,Region 5,2002,34,,,,,,,,,,,
HHS Regions,Region 6,2002,34,,,,,,,,,,,
HHS Regions,Region 7,2002,34,,,,,,,,,,,
HHS Regions,Region 8,2002,34,,,,,,,,,,,
HHS Regions,Region 9,2002,34,,,,,,,,,,,
HHS Regions,Region 10,2002,34,,,,,,,,,,,
HHS Regions,Region 1,2002,35,,,,,,,,,,,
HHS Regions,Region 2,2002,35,,,,,,,,,,,
HHS Regions,Region 3,2002,35,,,,,,,,,,,
HHS Regions,Region 4,2002,35,,,,,,,,,,,
HHS Regions,Region 5,2002,35,,,,,,,,,,,
HHS Regions,Region 6,2002,35,,,,,,,,,,,
HHS Regions,Region 7,2002,35,,,,,,,,,,,
HHS Regions,Region 8,2002,35,,,,,,,,,,,
HHS Regions,Region 9,2002,35,,,,,,,,,,,
HHS Regions,Region 10,2002,35,,,,,,,,,,,
HHS Regions,Region 1,2002,36,,,,,,,,,,,
HHS Regions,Region 2,2002,36,,,,,,,,,,,
HHS Regions,Region 3,2002,36,,,,,,,,,,,
HHS Regions,Region 4,2002,36,,,,,,,,,,,
HHS Regions,Region 5,2002,36,,,,,,,,,,,
HHS Regions,Region 6,2002,36,,,,,,,,,,,
HHS Regions,Region 7,2002,36,,,,,,,,,,,
HHS Regions,Region 8,2002,36,,,,,,,,,,,
HHS Regions,Region 9,2002,36,,,,,,,,,,,
HHS Regions,Region 10,2002,36,,,,,,,,,,,
HHS Regions,Region 1,2002,37,,,,,,,,,,,
HHS Regions,Region 2,2002,37,,,,,,,,,,,
HHS Regions,Region 3,2002,37,,,,,,,,,,,
HHS Regions,Region 4,2002,37,,,,,,,,,,,
HHS Regions,Region 5,2002,37,,,,,,,,,,,
HHS Regions,Region 6,2002,37,,,,,,,,,,,
HHS Regions,Region 7,2002,37,,,,,,,,,,,
HHS Regions,Region 8,2002,37,,,,,,,,,,,
HHS Regions,Region 9,2002,37,,,,,,,,,,,
HHS Regions,Region 10,2002,37,,,,,,,,,,,
HHS Regions,Region 1,2002,38,,,,,,,,,,,
HHS Regions,Region 2,2002,38,,,,,,,,,,,
HHS Regions,Region 3,2002,38,,,,,,,,,,,
HHS Regions,Region 4,2002,38,,,,,,,,,,,
HHS Regions,Region 5,2002,38,,,,,,,,,,,
HHS Regions,Region 6,2002,38,,,,,,,,,,,
HHS Regions,Region 7,2002,38,,,,,,,,,,,
HHS Regions,Region 8,2002,38,,,,,,,,,,,
HHS Regions,Region 9,2002,38,,,,,,,,,,,
HHS Regions,Region 10,2002,38,,,,,,,,,,,
HHS Regions,Region 1,2002,39,,,,,,,,,,,
HHS Regions,Region 2,2002,39,,,,,,,,,,,
HHS Regions,Region 3,2002,39,,,,,,,,,,,
HHS Regions,Region 4,2002,39,,,,,,,,,,,
HHS Regions,Region 5,2002,39,,,,,,,,,,,
HHS Regions,Region 6,2002,39,,,,,,,,,,,
HHS Regions,Region 7,2002,39,,,,,,,,,,,
HHS Regions,Region 8,2002,39,,,,,,,,,,,
HHS Regions,Region 9,2002,39,,,,,,,,,,,
HHS Regions,Region 10,2002,39,,,,,,,,,,,
HHS Regions,Region 1,2002,40,119,16653,74,0.784625977,0.71458596,9,87,21,,,2
HHS Regions,Region 2,2002,40,205,15498,56,1.474108873,1.322751323,64,81,48,,,12
HHS Regions,Region 3,2002,40,128,11075,39,1.164533829,1.155756208,27,24,56,,,21
HHS Regions,Region 4,2002,40,499,43106,159,0.956286249,1.157611469,102,244,128,,,25
HHS Regions,Region 5,2002,40,518,37656,184,1.977163565,1.375610792,149,193,134,,,42
HHS Regions,Region 6,2002,40,13,8969,56,0.428283459,0.144943695,1,9,3,,,0
HHS Regions,Region 7,2002,40,111,11078,59,0.881132025,1.001985918,15,49,44,,,3
HHS Regions,Region 8,2002,40,120,13961,57,0.555000293,0.859537282,48,36,20,,,16
HHS Regions,Region 9,2002,40,345,17315,54,1.777503197,1.992492059,167,82,68,,,28
HHS Regions,Region 10,2002,40,2,1258,16,0.158719929,0.158982512,0,0,2,,,0
HHS Regions,Region 1,2002,41,87,18544,78,0.49541444,0.469154443,7,46,30,,,4
HHS Regions,Region 2,2002,41,335,18612,67,1.948057271,1.799914034,116,118,84,,,17
HHS Regions,Region 3,2002,41,112,11300,39,0.877381376,0.991150442,22,24,47,,,19
HHS Regions,Region 4,2002,41,516,45943,171,1.051642407,1.123130836,110,227,142,,,37
HHS Regions,Region 5,2002,41,603,37540,192,2.209727351,1.606286628,173,231,162,,,37
HHS Regions,Region 6,2002,41,19,9041,49,0.665571215,0.210153744,0,16,3,,,0
HHS Regions,Region 7,2002,41,89,10975,60,0.741349321,0.810933941,27,36,25,,,1
HHS Regions,Region 8,2002,41,103,13712,56,0.505407897,0.751166861,54,39,10,,,0
HHS Regions,Region 9,2002,41,393,19225,57,1.798720811,2.044213264,172,128,81,,,12
HHS Regions,Region 10,2002,41,10,1463,16,0.828580005,0.683526999,2,7,1,,,0
HHS Regions,Region 1,2002,42,75,18492,82,0.405673314,0.405580792,16,36,18,,,5
HHS Regions,Region 2,2002,42,293,17243,69,1.861406355,1.699240271,136,104,42,,,11
HHS Regions,Region 3,2002,42,159,12626,44,1.128437003,1.259306194,28,44,65,,,22
HHS Regions,Region 4,2002,42,493,47707,172,0.809369939,1.033391326,101,256,109,,,27
HHS Regions,Region 5,2002,42,596,42066,201,2.250048277,1.416821186,152,259,161,,,24
HHS Regions,Region 6,2002,42,31,9149,65,1.179100933,0.338834845,1,15,15,,,0
HHS Regions,Region 7,2002,42,106,10879,60,0.92005617,0.974354261,24,34,44,,,4
HHS Regions,Region 8,2002,42,118,14338,57,0.492651398,0.822987864,58,34,16,,,10
HHS Regions,Region 9,2002,42,291,18185,63,1.439150468,1.600219962,124,90,67,,,10
HHS Regions,Region 10,2002,42,14,1784,18,0.846672845,0.784753363,2,6,6,,,0
HHS Regions,Region 1,2002,43,108,19805,80,0.637873674,0.545316839,12,60,31,,,5
HHS Regions,Region 2,2002,43,336,18340,65,2.194880521,1.832061069,145,119,59,,,13
HHS Regions,Region 3,2002,43,163,13241,42,1.1142992,1.231024847,24,47,67,,,25
HHS Regions,Region 4,2002,43,568,52535,195,1.041127905,1.081183973,118,276,145,,,29
HHS Regions,Region 5,2002,43,650,42863,207,1.952501196,1.516459417,174,277,176,,,23
HHS Regions,Region 6,2002,43,46,10686,70,0.992243358,0.430469774,5,26,15,,,0
HHS Regions,Region 7,2002,43,107,11671,61,0.890115119,0.916802331,28,45,30,,,4
HHS Regions,Region 8,2002,43,168,16137,58,0.574425239,1.041085704,64,47,41,,,16
HHS Regions,Region 9,2002,43,441,20537,66,2.517705716,2.147343818,157,140,105,,,39
HHS Regions,Region 10,2002,43,12,1697,19,0.757960557,0.70713023,1,8,3,,,0
HHS Regions,Region 1,2002,44,115,20508,82,0.603490613,0.560756778,22,55,36,,,2
HHS Regions,Region 2,2002,44,329,19559,73,1.795740262,1.682090086,143,117,61,,,8
HHS Regions,Region 3,2002,44,157,14376,47,1.013067007,1.092097941,35,44,62,,,16
HHS Regions,Region 4,2002,44,664,57338,200,1.164704305,1.158045275,132,288,206,,,38
HHS Regions,Region 5,2002,44,728,45814,211,1.961813706,1.58903392,198,320,183,,,27
HHS Regions,Region 6,2002,44,81,12074,81,1.343227212,0.670863011,11,52,18,,,0
HHS Regions,Region 7,2002,44,128,12012,61,1.051243256,1.065601066,28,53,38,,,9
HHS Regions,Region 8,2002,44,225,17362,62,0.705004365,1.295933648,78,89,40,,,18
HHS Regions,Region 9,2002,44,458,22349,71,2.095107499,2.049308694,173,161,88,,,36
HHS Regions,Region 10,2002,44,22,1816,21,1.210284992,1.211453744,3,10,9,,,0
HHS Regions,Region 1,2002,45,104,21289,81,0.506613275,0.488515196,11,55,31,,,7
HHS Regions,Region 2,2002,45,369,19610,73,2.689162245,1.881693014,158,128,65,,,18
HHS Regions,Region 3,2002,45,220,15342,47,1.396916854,1.433972103,30,60,101,,,29
HHS Regions,Region 4,2002,45,702,57097,200,1.196942339,1.229486663,148,320,197,,,37
HHS Regions,Region 5,2002,45,786,47761,221,1.843674151,1.645694186,197,328,216,,,45
HHS Regions,Region 6,2002,45,121,11104,77,1.715755731,1.089697406,35,63,19,,,4
HHS Regions,Region 7,2002,45,165,12094,63,1.322336825,1.364312882,38,67,57,,,3
HHS Regions,Region 8,2002,45,174,17918,72,0.654430476,0.971090523,62,62,44,,,6
HHS Regions,Region 9,2002,45,562,25147,75,1.793953906,2.234859029,206,183,142,,,31
HHS Regions,Region 10,2002,45,22,2092,21,1.067679679,1.051625239,2,6,14,,,0
HHS Regions,Region 1,2002,46,88,20678,82,0.452492439,0.425573073,7,50,25,,,6
HHS Regions,Region 2,2002,46,380,20132,75,2.368406643,1.887542221,142,141,79,,,18
HHS Regions,Region 3,2002,46,188,14663,44,1.180550566,1.282138716,31,46,86,,,25
HHS Regions,Region 4,2002,46,644,54102,199,1.104553504,1.190344165,131,276,207,,,30
HHS Regions,Region 5,2002,46,774,45430,211,1.917728294,1.703720009,230,313,202,,,29
HHS Regions,Region 6,2002,46,88,12127,81,1.384394167,0.7256535,18,37,31,,,2
HHS Regions,Region 7,2002,46,147,11014,62,1.306436254,1.334664972,34,60,46,,,7
HHS Regions,Region 8,2002,46,184,19234,73,0.68411433,0.956639285,48,75,50,,,11
HHS Regions,Region 9,2002,46,576,24166,74,1.824687604,2.383514028,208,165,158,,,45
HHS Regions,Region 10,2002,46,28,2166,22,1.278029377,1.292705448,2,10,14,,,2
HHS Regions,Region 1,2002,47,88,19141,80,0.476842727,0.459746095,9,38,35,,,6
HHS Regions,Region 2,2002,47,342,20248,76,2.130000722,1.689055709,131,127,66,,,18
HHS Regions,Region 3,2002,47,195,14996,46,1.249449075,1.300346759,35,54,83,,,23
HHS Regions,Region 4,2002,47,675,55590,200,1.104439547,1.214247167,129,307,206,,,33
HHS Regions,Region 5,2002,47,685,44660,214,1.832874357,1.533811017,192,280,180,,,33
HHS Regions,Region 6,2002,47,130,12716,81,1.328999727,1.022334067,22,55,52,,,1
HHS Regions,Region 7,2002,47,109,11008,61,0.952185793,0.990188953,25,45,29,,,10
HHS Regions,Region 8,2002,47,205,19092,72,0.763239331,1.073748167,63,97,38,,,7
HHS Regions,Region 9,2002,47,530,24498,72,1.774298236,2.163441914,196,161,122,,,51
HHS Regions,Region 10,2002,47,8,1869,20,0.445712615,0.428036383,0,2,6,,,0
HHS Regions,Region 1,2002,48,110,16560,84,0.741341629,0.664251208,23,49,29,,,9
HHS Regions,Region 2,2002,48,322,15104,73,2.51125317,2.131885593,158,87,67,,,10
HHS Regions,Region 3,2002,48,218,11588,43,1.86724622,1.881256472,29,56,94,,,39
HHS Regions,Region 4,2002,48,573,42169,203,1.209433439,1.358818089,126,254,160,,,33
HHS Regions,Region 5,2002,48,587,33111,210,2.004170131,1.772824741,181,219,155,,,32
HHS Regions,Region 6,2002,48,94,10649,80,1.42332281,0.882711992,13,41,27,,,13
HHS Regions,Region 7,2002,48,86,8420,63,1.21355927,1.021377672,18,43,21,,,4
HHS Regions,Region 8,2002,48,218,30950,77,0.832561395,0.704361874,81,79,48,,,10
HHS Regions,Region 9,2002,48,486,18665,64,1.806933481,2.603803911,203,145,103,,,35
HHS Regions,Region 10,2002,48,15,1598,21,0.925310729,0.938673342,2,5,7,,,1
HHS Regions,Region 1,2002,49,125,21111,83,0.584765759,0.59210838,25,64,29,,,7
HHS Regions,Region 2,2002,49,414,20428,79,2.266023133,2.026630116,160,142,94,,,18
HHS Regions,Region 3,2002,49,202,14623,51,1.169996626,1.381385489,31,50,85,,,36
HHS Regions,Region 4,2002,49,622,53860,211,1.103849491,1.154845897,126,248,211,,,37
HHS Regions,Region 5,2002,49,631,40562,210,1.898801419,1.555643213,176,239,184,,,32
HHS Regions,Region 6,2002,49,106,10276,70,1.792576997,1.031529778,20,58,25,,,3
HHS Regions,Region 7,2002,49,166,12559,63,1.395955519,1.321761287,39,69,54,,,4
HHS Regions,Region 8,2002,49,224,42993,79,0.632438634,0.521015049,61,86,61,,,16
HHS Regions,Region 9,2002,49,541,24555,69,1.403699758,2.203217267,217,156,117,,,51
HHS Regions,Region 10,2002,49,18,2111,22,0.918394401,0.852676457,2,5,9,,,2
HHS Regions,Region 1,2002,50,122,21561,86,0.610366409,0.565836464,27,45,40,,,10
HHS Regions,Region 2,2002,50,326,18674,71,1.869054348,1.745742744,124,109,76,,,17
HHS Regions,Region 3,2002,50,208,14093,47,1.295475449,1.475910026,26,47,101,,,34
HHS Regions,Region 4,2002,50,590,52215,205,1.015170645,1.129943503,115,226,200,,,49
HHS Regions,Region 5,2002,50,686,40737,211,2.010678221,1.683972801,191,300,167,,,28
HHS Regions,Region 6,2002,50,211,11816,81,2.882482973,1.785714286,39,132,38,,,2
HHS Regions,Region 7,2002,50,148,11479,62,1.270516258,1.289310916,24,89,30,,,5
HHS Regions,Region 8,2002,50,258,41756,77,0.77469858,0.617875275,95,102,52,,,9
HHS Regions,Region 9,2002,50,385,20864,67,1.561302732,1.845283742,160,124,79,,,22
HHS Regions,Region 10,2002,50,23,1941,21,1.158534304,1.184956208,3,5,9,,,6
HHS Regions,Region 1,2002,51,132,19903,84,0.622122149,0.663216601,32,47,42,,,11
HHS Regions,Region 2,2002,51,396,18544,72,2.470695941,2.135461605,130,147,89,,,30
HHS Regions,Region 3,2002,51,177,13979,48,1.070920953,1.266184992,35,47,63,,,32
HHS Regions,Region 4,2002,51,682,46010,202,1.366607408,1.482286459,155,240,235,,,52
HHS Regions,Region 5,2002,51,659,36012,200,1.945126469,1.829945574,200,256,179,,,24
HHS Regions,Region 6,2002,51,407,10745,78,6.049789879,3.787808283,70,288,41,,,8
HHS Regions,Region 7,2002,51,208,11915,63,1.77609013,1.745698699,39,111,54,,,4
HHS Regions,Region 8,2002,51,299,38034,73,1.151114538,0.786138718,110,119,52,,,18
HHS Regions,Region 9,2002,51,440,19373,67,1.997172149,2.271202189,174,142,91,,,33
HHS Regions,Region 10,2002,51,16,1664,21,0.986062041,0.961538462,6,7,3,,,0
HHS Regions,Region 1,2002,52,99,13925,85,0.799461795,0.710951526,30,24,39,,,6
HHS Regions,Region 2,2002,52,310,14166,72,1.879075653,2.188338275,105,79,98,,,28
HHS Regions,Region 3,2002,52,180,10741,49,1.338989983,1.675821618,38,32,80,,,30
HHS Regions,Region 4,2002,52,638,30807,198,1.735465976,2.070957899,163,190,241,,,44
HHS Regions,Region 5,2002,52,620,23214,195,2.789921589,2.670802102,209,236,162,,,13
HHS Regions,Region 6,2002,52,143,5055,44,4.122408896,2.828882295,48,71,22,,,2
HHS Regions,Region 7,2002,52,194,6533,62,3.122753612,2.969539262,49,94,47,,,4
HHS Regions,Region 8,2002,52,222,25908,77,1.06511845,0.856878184,86,72,44,,,20
HHS Regions,Region 9,2002,52,441,13041,64,4.492617889,3.381642512,186,133,92,,,30
HHS Regions,Region 10,2002,52,10,897,19,1.068645632,1.114827202,1,6,3,,,0
HHS Regions,Region 1,2003,1,110,15551,88,0.641820165,0.70735001,32,27,48,,,3
HHS Regions,Region 2,2003,1,269,13657,70,2.478306222,1.969685875,94,84,78,,,13
HHS Regions,Region 3,2003,1,176,11484,51,1.27558524,1.53256705,39,36,72,,,29
HHS Regions,Region 4,2003,1,944,40388,211,1.777299592,2.337327919,223,269,351,,,101
HHS Regions,Region 5,2003,1,695,26872,200,2.747453261,2.586335219,245,229,177,,,44
HHS Regions,Region 6,2003,1,151,5568,41,3.783213918,2.711925287,53,81,17,,,0
HHS Regions,Region 7,2003,1,229,8165,62,2.871962555,2.804654011,65,97,51,,,16
HHS Regions,Region 8,2003,1,229,32413,76,0.853741037,0.706506649,92,68,60,,,9
HHS Regions,Region 9,2003,1,436,15487,58,3.225249841,2.815264415,182,124,99,,,31
HHS Regions,Region 10,2003,1,21,1608,22,1.652974751,1.305970149,3,4,9,,,5
HHS Regions,Region 1,2003,2,109,19668,86,0.470414372,0.554199715,17,37,39,,,16
HHS Regions,Region 2,2003,2,281,16865,66,1.669860168,1.666172547,107,96,67,,,11
HHS Regions,Region 3,2003,2,235,14693,53,1.418848071,1.599401075,38,57,96,,,44
HHS Regions,Region 4,2003,2,841,57732,212,1.205149382,1.456731102,179,274,309,,,79
HHS Regions,Region 5,2003,2,737,38156,203,1.969980712,1.931544187,222,280,204,,,31
HHS Regions,Region 6,2003,2,256,11067,76,1.931781214,2.313183338,73,116,62,,,5
HHS Regions,Region 7,2003,2,213,10860,63,1.991842869,1.961325967,39,99,65,,,10
HHS Regions,Region 8,2003,2,316,41339,77,0.952076156,0.764411331,91,118,80,,,27
HHS Regions,Region 9,2003,2,711,21886,67,2.834814408,3.248652106,300,210,153,,,48
HHS Regions,Region 10,2003,2,30,2247,23,1.301826543,1.335113485,2,9,16,,,3
HHS Regions,Region 1,2003,3,190,19581,85,0.737875637,0.97032838,41,67,63,,,19
HHS Regions,Region 2,2003,3,415,17857,69,2.828996094,2.324018592,159,169,72,,,15
HHS Regions,Region 3,2003,3,213,14088,50,1.183456044,1.511925043,35,71,70,,,37
HHS Regions,Region 4,2003,3,1010,58533,215,1.399177199,1.725522355,197,467,274,,,72
HHS Regions,Region 5,2003,3,800,38309,202,2.05458806,2.088282127,249,386,147,,,18
HHS Regions,Region 6,2003,3,259,8890,58,2.710710099,2.913385827,55,122,79,,,3
HHS Regions,Region 7,2003,3,286,10445,62,2.826528422,2.738152226,52,157,69,,,8
HHS Regions,Region 8,2003,3,306,39955,74,1.029796157,0.765861594,98,140,49,,,19
HHS Regions,Region 9,2003,3,693,22027,65,2.902643019,3.14613883,265,211,173,,,44
HHS Regions,Region 10,2003,3,32,1865,22,2.022890373,1.715817694,3,8,15,,,6
HHS Regions,Region 1,2003,4,207,18112,83,1.103518956,1.142888693,22,109,64,,,12
HHS Regions,Region 2,2003,4,362,17184,67,2.04231975,2.106610801,116,165,72,,,9
HHS Regions,Region 3,2003,4,339,14664,51,1.901865215,2.311783961,90,102,118,,,29
HHS Regions,Region 4,2003,4,1462,56547,212,2.14773818,2.585459883,252,838,306,,,66
HHS Regions,Region 5,2003,4,1315,39267,204,3.145427952,3.348868006,353,699,233,,,30
HHS Regions,Region 6,2003,4,523,11630,79,3.789462872,4.496990542,117,350,52,,,4
HHS Regions,Region 7,2003,4,434,11800,62,4.062074982,3.677966102,78,253,93,,,10
HHS Regions,Region 8,2003,4,436,42507,80,1.189682407,1.025713412,123,222,69,,,22
HHS Regions,Region 9,2003,4,590,21878,68,2.868095138,2.696773014,219,250,90,,,31
HHS Regions,Region 10,2003,4,28,1977,21,1.654815445,1.416287304,3,10,7,,,8
HHS Regions,Region 1,2003,5,288,20922,84,1.40250005,1.37654144,49,165,62,,,12
HHS Regions,Region 2,2003,5,378,16412,64,3.027117456,2.303192786,93,195,73,,,17
HHS Regions,Region 3,2003,5,372,15012,48,2.392850633,2.478017586,83,199,68,,,22
HHS Regions,Region 4,2003,5,2205,66253,209,2.805724998,3.328151178,306,1327,465,,,107
HHS Regions,Region 5,2003,5,1622,40860,203,3.391766614,3.969652472,352,976,243,,,51
HHS Regions,Region 6,2003,5,394,9494,58,3.732566095,4.149989467,57,241,93,,,3
HHS Regions,Region 7,2003,5,476,12893,63,4.284839531,3.691925851,78,292,89,,,17
HHS Regions,Region 8,2003,5,721,44361,76,1.797762195,1.625301504,157,429,119,,,16
HHS Regions,Region 9,2003,5,609,18875,60,3.128829734,3.226490066,229,235,109,,,36
HHS Regions,Region 10,2003,5,14,1887,19,0.842820074,0.741918389,7,5,1,,,1
HHS Regions,Region 1,2003,6,449,20774,81,1.861139672,2.161355541,52,277,101,,,19
HHS Regions,Region 2,2003,6,428,14788,62,3.240803411,2.894238572,86,260,74,,,8
HHS Regions,Region 3,2003,6,563,15926,57,3.19039185,3.535099837,74,371,93,,,25
HHS Regions,Region 4,2003,6,2144,62215,209,3.104295833,3.446114281,327,1347,372,,,98
HHS Regions,Region 5,2003,6,1778,41840,200,3.538290463,4.249521989,406,1060,273,,,39
HHS Regions,Region 6,2003,6,309,9040,54,3.046518348,3.418141593,48,156,93,,,12
HHS Regions,Region 7,2003,6,362,12348,61,3.417790691,2.93164885,65,210,79,,,8
HHS Regions,Region 8,2003,6,759,42366,76,1.910711618,1.791530945,201,394,142,,,22
HHS Regions,Region 9,2003,6,944,24266,68,4.041545438,3.890216764,338,360,178,,,68
HHS Regions,Region 10,2003,6,46,2188,21,2.380790466,2.1023766,9,12,16,,,9
HHS Regions,Region 1,2003,7,504,20925,80,1.903038751,2.408602151,71,294,120,,,19
HHS Regions,Region 2,2003,7,427,15912,58,3.492214413,2.683509301,101,222,87,,,17
HHS Regions,Region 3,2003,7,602,16328,59,3.706887613,3.686918177,102,325,140,,,35
HHS Regions,Region 4,2003,7,2045,61507,203,3.02451824,3.324824817,273,1238,417,,,117
HHS Regions,Region 5,2003,7,1538,40840,203,3.287269528,3.765915769,340,920,251,,,27
HHS Regions,Region 6,2003,7,388,12845,83,2.783855526,3.020630596,69,222,96,,,1
HHS Regions,Region 7,2003,7,232,11863,62,2.333292946,1.955660457,36,108,83,,,5
HHS Regions,Region 8,2003,7,894,47862,72,2.157631898,1.867870127,224,463,182,,,25
HHS Regions,Region 9,2003,7,976,23608,63,3.449315194,4.134191799,342,414,175,,,45
HHS Regions,Region 10,2003,7,43,1966,20,2.126055002,2.187182096,10,18,15,,,0
HHS Regions,Region 1,2003,8,395,17283,78,2.055116751,2.285482844,55,213,100,,,27
HHS Regions,Region 2,2003,8,339,13132,56,3.236673856,2.581480353,103,167,60,,,9
HHS Regions,Region 3,2003,8,515,14039,58,3.876338981,3.668352447,107,228,144,,,36
HHS Regions,Region 4,2003,8,2052,61420,205,2.943535992,3.340931293,318,1148,477,,,109
HHS Regions,Region 5,2003,8,1466,40092,198,3.482018033,3.656589843,340,835,258,,,33
HHS Regions,Region 6,2003,8,131,8647,58,1.839820879,1.514976292,16,79,34,,,2
HHS Regions,Region 7,2003,8,201,12278,62,1.914186021,1.637074442,59,77,64,,,1
HHS Regions,Region 8,2003,8,937,49087,74,2.273588235,1.908855705,246,453,205,,,33
HHS Regions,Region 9,2003,8,1140,23193,63,4.519783999,4.915276161,432,464,187,,,57
HHS Regions,Region 10,2003,8,52,1939,19,4.055175064,2.68179474,18,25,8,,,1
HHS Regions,Region 1,2003,9,337,17926,73,1.790900152,1.879950909,63,193,66,,,15
HHS Regions,Region 2,2003,9,258,15096,53,2.028390283,1.709062003,72,112,65,,,9
HHS Regions,Region 3,2003,9,441,15243,57,2.853128697,2.893131273,70,171,159,,,41
HHS Regions,Region 4,2003,9,1202,59359,195,1.953114774,2.024966728,183,560,377,,,82
HHS Regions,Region 5,2003,9,1094,38709,191,2.755191832,2.826216125,296,555,209,,,34
HHS Regions,Region 6,2003,9,130,10819,78,1.068720349,1.201589796,28,51,48,,,3
HHS Regions,Region 7,2003,9,229,11708,61,2.118814836,1.955927571,56,96,70,,,7
HHS Regions,Region 8,2003,9,770,46753,68,2.085722613,1.646953137,176,393,179,,,22
HHS Regions,Region 9,2003,9,1109,24029,63,4.189160862,4.615256565,381,440,215,,,73
HHS Regions,Region 10,2003,9,36,2041,18,2.445119437,1.763841254,11,12,12,,,1
HHS Regions,Region 1,2003,10,291,19096,75,1.415367327,1.523879346,32,163,82,,,14
HHS Regions,Region 2,2003,10,137,13721,51,0.694100635,0.998469499,46,63,24,,,4
HHS Regions,Region 3,2003,10,276,13407,51,1.876556742,2.058626091,62,75,101,,,38
HHS Regions,Region 4,2003,10,998,51576,191,1.732202153,1.935008531,148,475,289,,,86
HHS Regions,Region 5,2003,10,877,37614,191,2.18818399,2.331578668,245,415,187,,,30
HHS Regions,Region 6,2003,10,191,10672,70,1.841669408,1.789730135,23,136,29,,,3
HHS Regions,Region 7,2003,10,138,11982,61,1.276503515,1.151727591,33,59,41,,,5
HHS Regions,Region 8,2003,10,692,47230,71,1.870546675,1.465170443,138,349,178,,,27
HHS Regions,Region 9,2003,10,808,21088,59,4.386936386,3.831562974,280,345,144,,,39
HHS Regions,Region 10,2003,10,42,2163,19,2.268981456,1.941747573,8,23,10,,,1
HHS Regions,Region 1,2003,11,249,18533,74,1.354004865,1.343549344,27,121,84,,,17
HHS Regions,Region 2,2003,11,215,11382,49,1.961950666,1.888947461,38,103,39,,,35
HHS Regions,Region 3,2003,11,302,14397,52,2.392644923,2.097659235,44,130,95,,,33
HHS Regions,Region 4,2003,11,726,49511,186,1.266225904,1.466340813,116,314,222,,,74
HHS Regions,Region 5,2003,11,656,35166,187,1.684220984,1.865438207,167,311,158,,,20
HHS Regions,Region 6,2003,11,110,9572,77,1.558369831,1.149185123,22,54,29,,,5
HHS Regions,Region 7,2003,11,129,11842,63,1.156173515,1.089343016,28,49,46,,,6
HHS Regions,Region 8,2003,11,540,45828,72,1.532116582,1.178318932,133,251,133,,,23
HHS Regions,Region 9,2003,11,847,22216,59,3.839775099,3.812567519,298,323,167,,,59
HHS Regions,Region 10,2003,11,36,1803,16,2.338068111,1.996672213,7,13,14,,,2
HHS Regions,Region 1,2003,12,119,15586,70,0.693242328,0.76350571,14,62,33,,,10
HHS Regions,Region 2,2003,12,195,12664,47,1.615353122,1.539797852,46,105,43,,,1
HHS Regions,Region 3,2003,12,246,11437,49,2.004567583,2.150913701,43,65,111,,,27
HHS Regions,Region 4,2003,12,716,50885,181,1.253361011,1.407094429,128,346,194,,,48
HHS Regions,Region 5,2003,12,580,36311,178,1.368674205,1.597312109,147,277,133,,,23
HHS Regions,Region 6,2003,12,71,10129,77,1.234463345,0.700957646,13,42,14,,,2
HHS Regions,Region 7,2003,12,110,10891,62,1.10357101,1.010008264,30,40,34,,,6
HHS Regions,Region 8,2003,12,375,31662,68,1.382789363,1.184385067,105,177,83,,,10
HHS Regions,Region 9,2003,12,545,15961,51,4.512272876,3.414573022,198,195,123,,,29
HHS Regions,Region 10,2003,12,30,1198,12,3.431329719,2.504173623,13,12,5,,,0
HHS Regions,Region 1,2003,13,92,16033,68,0.45579419,0.573816503,8,38,36,,,10
HHS Regions,Region 2,2003,13,161,12537,42,1.292219597,1.284198772,47,71,39,,,4
HHS Regions,Region 3,2003,13,202,10683,41,1.988464734,1.890854629,38,53,89,,,22
HHS Regions,Region 4,2003,13,676,45635,175,1.175802583,1.481319163,109,347,155,,,65
HHS Regions,Region 5,2003,13,368,33258,176,0.877239631,1.106500692,123,147,83,,,15
HHS Regions,Region 6,2003,13,53,11246,81,0.819839646,0.471278677,18,25,10,,,0
HHS Regions,Region 7,2003,13,101,9453,62,1.181881406,1.06844388,25,33,35,,,8
HHS Regions,Region 8,2003,13,324,40992,65,1.280190723,0.790398126,79,140,92,,,13
HHS Regions,Region 9,2003,13,437,17857,52,2.848452176,2.447219578,167,152,97,,,21
HHS Regions,Region 10,2003,13,25,1219,13,1.517877274,2.050861362,10,10,4,,,1
HHS Regions,Region 1,2003,14,75,15563,66,0.527289401,0.481912228,7,32,20,,,16
HHS Regions,Region 2,2003,14,158,12308,38,1.29973232,1.283717907,35,85,34,,,4
HHS Regions,Region 3,2003,14,162,9975,37,1.661057125,1.62406015,33,42,64,,,23
HHS Regions,Region 4,2003,14,518,40803,166,1.027395522,1.269514496,87,253,137,,,41
HHS Regions,Region 5,2003,14,379,34028,170,0.773904237,1.113788645,133,152,86,,,8
